classification	file_line	authored_field	sentinel	falls_back_to	author_can_tell	guard_rule	asset_glob	guard_message
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:18	SM.Core.Content.BudgetCard	missing budget card	no compiled governance summary	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:27	SM.Core.Content.BudgetCard.Vector	missing vector	governance final score 0	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:28	SM.Core.Content.BudgetCard.DeclaredThreatPatterns	null list	empty threat-pattern list	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:29	SM.Core.Content.BudgetCard.DeclaredCounterTools	null list	empty counter-tool list	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:56	SM.Content.Definitions.UnitArchetypeDefinition.Class	missing class	archetype BaseCritChance and BaseCritMultiplier	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:60	SM.Content.Definitions.ClassDefinition.BaseCritMultiplier	value below 1	zero critical multiplier bonus	false	lt:1	Assets/Resources/_Game/Content/Definitions/Classes/*.asset	Wrong: BaseCritMultiplier below 1 is silently raised after conversion. Runtime actually uses a zero critical multiplier bonus. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:66	SM.Content.Definitions.UnitArchetypeDefinition.BaseArmor	0	BaseDefense	false	eq:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BaseArmor 0 does not author zero armor. Runtime actually substitutes BaseDefense. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:71	SM.Content.Definitions.UnitArchetypeDefinition.BasePhysPower	0	BaseAttack	false	eq:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BasePhysPower 0 does not author zero physical power. Runtime actually substitutes BaseAttack. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:73	SM.Content.Definitions.UnitArchetypeDefinition.BaseAttackSpeed	0	BaseSpeed	false	eq:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BaseAttackSpeed 0 does not author zero attack speed. Runtime actually substitutes BaseSpeed. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:76	SM.Content.Definitions.UnitArchetypeDefinition.BaseSkillHaste	0	BaseCooldownRecovery	false	eq:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BaseSkillHaste 0 does not author zero skill haste. Runtime actually substitutes BaseCooldownRecovery. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:88	SM.Content.Definitions.UnitArchetypeDefinition.BasePreferredDistance	0	BaseAttackRange	false	eq:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BasePreferredDistance 0 does not author zero preferred distance. Runtime actually substitutes BaseAttackRange. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:107	SM.Content.Definitions.ClassDefinition.BaselineDamageMultiplierPercent	outside 1..200	clamped to 1..200 percent	false	outside:1:200	Assets/Resources/_Game/Content/Definitions/Classes/*.asset	Wrong: BaselineDamageMultiplierPercent outside 1..200 is silently changed. Runtime actually clamps it into 1..200. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:124	SM.Content.Definitions.ClassDefinition.CritChanceCap	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Classes/*.asset	Wrong: negative CritChanceCap is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:130	SM.Content.Definitions.ClassDefinition.CritMultiplierCap	below 1	zero bonus cap	false	lt:1	Assets/Resources/_Game/Content/Definitions/Classes/*.asset	Wrong: CritMultiplierCap below 1 is silently changed. Runtime actually uses a zero bonus cap. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:156	all authored collection fields	null collection	empty collection	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:171	all NameKey and legacy display fields	empty legacy display or NameKey	legacy display then NameKey then stable id/fallback	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:186	SM.Content.Definitions.TraitPoolDefinition.ArchetypeId	empty	traitpool_ Id suffix then Unity object-name suffix then empty	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentConversionShared.cs:215	all RuleModifierTags	empty tag list	no combat rule package	true	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:26	SM.Content.Definitions.StatusApplicationRule.StatusId	empty	application is silently dropped	false	empty	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: an empty StatusId silently removes the authored status application. Runtime actually drops that application. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:28	SM.Content.Definitions.StatusApplicationRule.Id	empty	skillId:statusId derived id	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:32	SM.Content.Definitions.StatusApplicationRule.MaxStacks	0 or negative	1	false	lte:0	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: MaxStacks at or below 0 does not disable stacking. Runtime actually forces MaxStacks to 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:644	SM.Content.Definitions.StatusApplicationRule.MaxStacks	greater than 1 on a non-ShredsDefense status	stack count grows but magnitude and duration merge by maximum	false	existing-validator:StatusMagnitudeChannelCatalogValidator	-	Wrong: MaxStacks above 1 looks multiplicative for every status. Runtime actually consumes stacks only for ShredsDefense and merges other magnitude and duration by maximum. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:36	SM.Content.Definitions.SkillDefinitionAsset.EffectFamilyId	empty	recruit-skill fallback effect family	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:44	SM.Content.Definitions.SkillDefinitionAsset.CleanseProfileId	null	empty cleanse profile id	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:46	SM.Content.Definitions.SkillDefinitionAsset.RecruitNativeTags	empty	recruit-skill fallback native tags	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:52	SM.Content.Definitions.SkillDefinitionAsset.RecruitPlanTags	empty	recruit-skill fallback plan tags	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:58	SM.Content.Definitions.SkillDefinitionAsset.RecruitScoutTags	empty	recruit-skill fallback scout tags	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:98	SM.Content.Definitions.SkillDefinitionAsset.InterruptRefundScalar	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: InterruptRefundScalar outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:100	SM.Content.Definitions.SkillDefinitionAsset.MutuallyExclusiveGroupId	empty	recruit-skill fallback group	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:106	SM.Content.Definitions.SkillDefinitionAsset.Radius	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: negative Radius is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:108	SM.Content.Definitions.SkillDefinitionAsset.IconId	empty	skill_icon_ plus stripped skill id	false	documented	-	-
