classification	field	definition_file_line	consumer_file_line	runtime_effect_or_winner	recommended_disposition	marker
unwired	SM.Content.Definitions.AffixDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:22	-	no runtime consumer; suspected intent: affix effect or text-template compilation	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AffixDefinition.Effects	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:41	-	no runtime consumer; suspected intent: affix effect or text-template compilation	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AffixDefinition.TextTemplateKey	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:39	-	no runtime consumer; suspected intent: affix effect or text-template compilation	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AugmentDefinition.Effects	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:40	-	no runtime consumer; suspected intent: augment offer eligibility, weighting, roster delta, or effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AugmentDefinition.EligibleModes	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:37	-	no runtime consumer; suspected intent: augment offer eligibility, weighting, roster delta, or effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AugmentDefinition.OfferWeight	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:26	-	no runtime consumer; suspected intent: augment offer eligibility, weighting, roster delta, or effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AugmentDefinition.ProtectionTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:33	-	no runtime consumer; suspected intent: augment offer eligibility, weighting, roster delta, or effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AugmentDefinition.Rarity	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:20	-	no runtime consumer; suspected intent: augment offer eligibility, weighting, roster delta, or effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AugmentDefinition.RequiresTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:35	-	no runtime consumer; suspected intent: augment offer eligibility, weighting, roster delta, or effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.AugmentDefinition.RosterSlotDelta	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:39	-	no runtime consumer; suspected intent: augment offer eligibility, weighting, roster delta, or effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.BossOverlayDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/BossOverlayDefinition.cs:14	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ClassDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/ClassDefinition.cs:12	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.CleanseProfileDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/CleanseProfileDefinition.cs:13	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.CleanseProfileDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/CleanseProfileDefinition.cs:12	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ControlDiminishingRuleDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/ControlDiminishingRuleDefinition.cs:13	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ControlDiminishingRuleDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/ControlDiminishingRuleDefinition.cs:12	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.DropTableDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/DropTableDefinition.cs:26	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.DropTableDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/DropTableDefinition.cs:25	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.EncounterDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/EncounterDefinition.cs:14	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.EnemySquadTemplateDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/EnemySquadTemplateDefinition.cs:36	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.BarkSetId	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:21	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.ChapterId	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:12	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.CombatArchetypeId	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:17	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:10	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.DossierHook	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:22	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
